athlete_id,name,sex,NOC,country_name,birth_date,sport_principal,sport,sport_code
1926501,YORSTON Simon,Male,NZL,New Zealand,2000-03-07,Hockey,Hockey,HOC
1926508,INGLIS Hugo,Male,NZL,New Zealand,1991-01-18,Hockey,Hockey,HOC
1926512,BUSCHL Malachi,Male,NZL,New Zealand,1999-10-15,Hockey,Hockey,HOC
1926513,LANE Sam,Male,NZL,New Zealand,1997-04-30,Hockey,Hockey,HOC
1926514,WOODS Nic,Male,NZL,New Zealand,1995-08-26,Hockey,Hockey,HOC
1926515,RUSSELL Kane,Male,NZL,New Zealand,1992-04-22,Hockey,Hockey,HOC
1926516,BOYDE Scott,Male,NZL,New Zealand,1994-08-05,Hockey,Hockey,HOC
1926519,HOULBROOKE Isaac,Male,NZL,New Zealand,2001-09-06,Hockey,Hockey,HOC
1926521,PHILLIPS Hayden,Male,NZL,New Zealand,1998-02-06,Hockey,Hockey,HOC
1926523,LETT Dane,Male,NZL,New Zealand,1990-08-29,Hockey,Hockey,HOC
1926536,HOWARD Jordan,Male,PUR,Puerto Rico,1996-01-06,Basketball,Basketball,BKB
1926539,WATERS Tremont,Male,PUR,Puerto Rico,1998-01-10,Basketball,Basketball,BKB
1926540,ALVARADO Jose,Male,PUR,Puerto Rico,1998-04-12,Basketball,Basketball,BKB
1926541,ROMERO Ismael,Male,PUR,Puerto Rico,1991-06-23,Basketball,Basketball,BKB
1926542,FORD Aleem,Male,PUR,Puerto Rico,1997-12-22,Basketball,Basketball,BKB
1926545,van der KAAY Nicole,Female,NZL,New Zealand,1996-02-10,Triathlon,Triathlon,TRI
1926547,McCULLOUGH Dylan,Male,NZL,New Zealand,2001-02-15,Triathlon,Triathlon,TRI
1926549,WILDE Hayden,Male,NZL,New Zealand,1997-09-01,Triathlon,Triathlon,TRI
1926551,THORPE Ainsley,Female,NZL,New Zealand,1998-02-13,Triathlon,Triathlon,TRI
